term,counts
covid,837273
19,762699
covid19,568323
coronavirus,373608
vaccine,189813
amp,97148
cases,94619
new,93127
people,91725
pandemic,85959
astrazeneca,66971
da,64187
via,63828
get,63509
health,60769
virus,55801
vaccines,54822
one,51302
casos,50570
us,50268
year,49970
vaccination,49847
2021,49719
news,49161
na,48907
em,46375
di,44730
et,44682
deaths,40495
est,40108
pandemia,38874
des,38864
first,38663
il,38226
like,37422
march,37241
não,37069
die,36533
lockdown,35349
today,34508
si,34234
000,34223
mais,34095
com,33226
time,32188
day,32055
vacuna,31134
du,30773
world,30279
trump,29718
positive,28801
2020,28749
help,28626
10,28617
brasil,28457
still,28354
last,27979
need,27789
vaccinated,27605
corona,27162
pour,27117
know,27026
would,26560
says,26496
pas,26313
per,26109
eu,25867
please,25844
take,25834
um,25799
government,25743
24,25627
state,25610
total,25607
many,25541
china,25393
salud,25281
15,25222
due,25002
vacunas,24678
india,23960
may,23717
see,23383
test,23336
said,22790
could,22783
vacunación,22467
week,22225
even,22000
20,21890
biden,21753
uk,21637
home,21486
also,21469
the,21366
covid_19,21282
public,21166
dr,20872
good,20844
doses,20802
go,20793
16,20783
back,20754
since,20512
country,20372
data,20358
well,20331
work,20192
million,19998
safe,19952
france,19915
100,19841
der,19800
une,19733
mil,19244
got,19170
death,19120
país,19034
read,18854
dan,18801
getting,18756
18,18720
17,18713
make,18542
days,18433
patients,18403
use,18399
das,18394
sa,18327
live,18308
non,18290
nuevos,18155
mask,18116
update,18088
president,17981
medidas,17958
ser,17931
variant,17854
hospital,17835
je,17825
care,17814
going,17744
testing,17636
21,17599
re,17597
14,17533
dans,17507
say,17479
social,17347
und,17314
risk,17266
au,17134
spread,17056
tests,16966
personas,16961
ce,16935
12,16881
plus,16829
stop,16660
sur,16659
dose,16632
contagios,16557
qui,16555
marzo,16377
want,16123
let,16107
crisis,16081
latest,16049
right,15972
number,15969
03,15946
way,15846
dos,15619
11,15538
two,15410
gt,15374
restrictions,15315
ne,15299
report,15295
long,15288
support,15271
keep,15198
much,15187
countries,15078
think,15042
día,15026
children,14993
reported,14921
county,14910
uma,14882
hoy,14671
reports,14658
30,14609
stay,14500
mundo,14369
mortes,14313
año,14243
dosis,14198
next,14171
de,14110
free,14098
end,14046
great,14025
case,13933
plan,13891
open,13790
states,13652
pfizer,13575
life,13526
global,13459
check,13438
vaccin,13349
everyone,13340
pm,13330
another,13315
information,13266
daily,13264
va,13251
masks,13242
community,13223
workers,13216
tem,13210
must,13196
school,13141
vaccinations,13140
business,13123
drlimengyan1,13121
mar,13053
confinement,13048
relief,12948
in,12832
thank,12796
come,12717
gente,12555
variants,12549
to,12544
response,12538
shot,12516
video,12515
made,12507
50,12497
wave,12494
really,12477
blood,12466
years,12404
every,12383
americans,12382
mas,12350
rate,12338
safety,12289
man,12287
never,12213
vous,12144
study,12139
across,12125
medical,12099
tested,12083
presidente,12061
months,12014
lives,12007
post,11968
canada,11954
qu,11871
high,11867
gobierno,11832
died,11829
part,11756
impact,11742
par,11707
anti,11684
muertes,11638
ng,11625
media,11620
yet,11600
schools,11597
che,11534
ou,11529
méxico,11478
look,11471
